y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-3.58621,,-0.023304,-0.0364442,-0.0490073,-0.0362131,0.0193795
-3.55172,,-0.0238671,-0.0367971,-0.0487987,-0.0327565,0.0258783
-3.51724,,-0.0242242,-0.0371953,-0.0484831,-0.0292118,0.0327285
-3.48276,,-0.0234329,-0.0367704,-0.0481446,-0.0258154,0.0397634
-3.44828,,-0.0232602,-0.0366355,-0.047706,-0.0221831,0.0468154
-3.41379,,-0.0239982,-0.037197,-0.0470428,-0.018143,0.0538264
-3.37931,,-0.0237724,-0.0372063,-0.0461882,-0.013877,0.0608533
-3.34483,,-0.0230226,-0.0367423,-0.045148,-0.00953615,0.0679433
-3.31034,,-0.0233909,-0.0369796,-0.0437474,-0.0050182,0.0752223
-3.27586,,-0.023852,-0.0373715,-0.0419886,-0.000156034,0.0827527
-3.24138,,-0.0231926,-0.0369642,-0.0401159,0.0051729,0.0902932
-3.2069,,-0.0228393,-0.0366677,-0.0381349,0.0109685,0.0977177
-3.17241,,-0.0234623,-0.0370739,-0.0359646,0.0169841,0.105309
-3.13793,,-0.0234074,-0.037068,-0.0336805,0.0230212,0.113072
-3.10345,,-0.0226815,-0.036511,-0.0312562,0.0291793,0.12096
-3.06897,,-0.0228262,-0.0365378,-0.0284869,0.0354837,0.128967
-3.03448,,-0.0232729,-0.0368336,-0.0254395,0.0419058,0.136896
-3,,-0.0227794,-0.03641,-0.0222635,0.0484511,0.144827
-2.96552,,-0.022339,-0.035974,-0.0188022,0.0550018,0.152864
-2.93103,,-0.0227892,-0.0362063,-0.0149961,0.0615262,0.161038
-2.89655,,-0.0228743,-0.0361649,-0.0109382,0.0681246,0.169365
-2.86207,,-0.0222926,-0.0355375,-0.0065644,0.075,0.177737
-2.82759,,-0.0223026,-0.0353168,-0.00171278,0.0821261,0.186114
-2.7931,,-0.0227059,-0.0353302,0.00335954,0.0894064,0.194833
-2.75862,,-0.0224024,-0.0346328,0.00833763,0.0969002,0.203606
-2.72414,,-0.0220025,-0.0336927,0.0135388,0.104833,0.212277
-2.68966,,-0.0222757,-0.0331725,0.0192665,0.113162,0.221152
-2.65517,,-0.0223875,-0.0322921,0.0254062,0.121719,0.230161
-2.62069,,-0.0219717,-0.0306912,0.0319443,0.130473,0.239207
-2.58621,,-0.0219105,-0.0292132,0.0390925,0.139561,0.248454
-2.55172,,-0.0222088,-0.0277932,0.0468155,0.149091,0.258113
-2.51724,,-0.0220581,-0.0255851,0.0549047,0.159034,0.26805
-2.48276,,-0.0217549,-0.0228637,0.0634864,0.169341,0.277901
-2.44828,,-0.021903,-0.0202493,0.0725523,0.179948,0.287635
-2.41379,,-0.0219945,-0.0170665,0.0816423,0.190462,0.297485
-2.37931,,-0.0216824,-0.0128649,0.0907263,0.201073,0.307626
-2.34483,,-0.0215554,-0.00826655,0.100092,0.212021,0.318165
-2.31034,,-0.0217007,-0.00335258,0.109788,0.22304,0.329126
-2.27586,,-0.0215776,0.00252689,0.11957,0.23397,0.340094
-2.24138,,-0.021289,0.00939843,0.129334,0.24482,0.350965
-2.2069,,-0.021295,0.0167623,0.139386,0.255782,0.361995
-2.17241,,-0.0213255,0.0248382,0.149727,0.267077,0.373369
-2.13793,,-0.0210184,0.0338638,0.160411,0.278824,0.384574
-2.10345,,-0.0207582,0.0435766,0.171751,0.290573,0.395644
-2.06897,,-0.0207682,0.0538994,0.183472,0.302401,0.407037
-2.03448,,-0.0205759,0.0649082,0.195574,0.31449,0.418768
-2,,-0.0200362,0.07646,0.208234,0.326831,0.43039
-1.96552,,-0.0196648,0.0883007,0.221332,0.339342,0.441747
-1.93103,,-0.0193764,0.100393,0.234286,0.351635,0.453336
-1.89655,,-0.0183913,0.112725,0.247332,0.363347,0.465565
-1.86207,,-0.0169169,0.125446,0.260829,0.375099,0.477826
-1.82759,,-0.0155795,0.138497,0.274315,0.387026,0.489968
-1.7931,,-0.0133819,0.151987,0.287559,0.398923,0.502438
-1.75862,,-0.00950444,0.166105,0.300975,0.411018,0.514813
-1.72414,,-0.00525618,0.180834,0.314635,0.423506,0.527083
-1.68966,,-0.000298874,0.195781,0.328235,0.436361,0.539433
-1.65517,,0.00782786,0.211146,0.341945,0.449426,0.551667
-1.62069,,0.0180039,0.226632,0.356118,0.462658,0.563847
-1.58621,,0.0282539,0.242517,0.370716,0.475932,0.576131
-1.55172,,0.0417566,0.259142,0.385609,0.489229,0.588434
-1.51724,,0.0591615,0.276437,0.400591,0.50238,0.601091
-1.48276,,0.0765297,0.294349,0.415728,0.515241,0.613942
-1.44828,,0.0964379,0.312751,0.430552,0.527918,0.62659
-1.41379,,0.121126,0.331321,0.445027,0.540874,0.638948
-1.37931,,0.144391,0.349687,0.459839,0.554245,0.65115
-1.34483,,0.169164,0.368525,0.47509,0.567893,0.663232
-1.31034,,0.199261,0.388092,0.490801,0.581648,0.67524
-1.27586,,0.226269,0.408708,0.506801,0.595145,0.687141
-1.24138,,0.255446,0.429217,0.522758,0.608646,0.698971
-1.2069,,0.290119,0.449974,0.538687,0.622266,0.710885
-1.17241,,0.320012,0.471161,0.554538,0.635842,0.722713
-1.13793,,0.354714,0.492214,0.570259,0.64914,0.734387
-1.10345,,0.395475,0.513722,0.58595,0.662222,0.746037
-1.06897,,0.429055,0.535232,0.601837,0.675823,0.757494
-1.03448,,0.47068,0.557241,0.617964,0.690034,0.768931
-1,,0.514494,0.578905,0.634271,0.704141,0.780622
-0.965517,,0.552187,0.601605,0.650521,0.718214,0.79219
-0.931034,,0.596997,0.623555,0.666879,0.732858,0.803742
-0.896552,,0.641037,0.645299,0.683282,0.747471,0.815347
-0.862069,,0.681114,0.667563,0.699824,0.761615,0.826717
-0.827586,,0.728543,0.689791,0.716361,0.775515,0.837638
-0.793103,,0.766487,0.71271,0.733075,0.789401,0.848329
-0.758621,,0.807329,0.734405,0.749362,0.803404,0.858681
-0.724138,,0.843307,0.756837,0.765837,0.817284,0.86872
-0.689655,,0.874339,0.777858,0.782501,0.830762,0.878894
