x/h=0.2,,,,x/h=1,,,,x/h=3,,,,x/h=10,,,,x/h=20,,,x/h=30,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,y/y0.5,U/Uc
,,,,,,,,,,,,,,,,1.36026,0.30821,,-0.21851,0.98582
,,,,,,,,,,,,,,,,1.37088,0.30775,,-0.24583,0.97114
,,,,,,,,,,,,,,,,1.38151,0.29798,,-0.27314,0.96531
,,,,,,,,,,,,,,,,1.43464,0.28815,,-0.30046,0.94682
,,,,,,,,,,,,,,,,1.48778,0.25507,,-0.32777,0.94264
,,,,,,,,,,,,,,,,1.54091,0.23473,,-0.35508,0.92314
,,,,,,,,,,,,,,,,1.59405,0.20753,,-0.3824,0.91227
,,,,,,,,,,,,,,,,1.64718,0.19845,,-0.40971,0.90047
,,,,,,,,,,,,,,,,1.70032,0.18279,,-0.41518,0.90666
,,,,,,,,,,,,,,,,1.75345,0.1657,,-0.42064,0.89593
,,,,,,,,,,,,,,,,1.80659,0.15496,,-0.4261,0.89205
,,,,,,,,,,,,,,,,1.85972,0.13308,,-0.43156,0.88636
,,,,,,,,,,,,,,,,1.91286,0.12422,,-0.43703,0.88715
,,,,,,,,,,,,,,,,1.96599,0.11514,,-0.44249,0.87319
,,,,,,,,,,,,,,,,2.01913,0.10925,,-0.44795,0.86779
,,,,,,,,,,,,,,,,2.07226,0.10582,,-0.45342,0.86427
,,,,,,,,,,,,,,,,2.1254,0.10097,,-0.45888,0.86614
,,,,,,,,,,,,,,,,2.17853,0.08457,,-0.46434,0.86376
,,,,,,,,,,,,,,,,2.23167,0.08291,,-0.4698,0.85945
,,,,,,,,,,,,,,,,2.2848,0.07748,,-0.47527,0.85851
,,,,,,,,,,,,,,,,2.33794,0.07268,,-0.48073,0.85585
,,,,,,,,,,,,,,,,2.39107,0.07171,,-0.48619,0.84556
,,,,,,,,,,,,,,,,2.44421,0.06502,,-0.49166,0.84807
,,,,,,,,,,,,,,,,2.49734,0.06771,,-0.49712,0.83965
,,,,,,,,,,,,,,,,2.55048,0.06725,,-0.50258,0.8375
,,,,,,,,,,,,,,,,2.60361,0.0576,,-0.50804,0.83347
,,,,,,,,,,,,,,,,2.65675,0.0568,,-0.51351,0.83721
,,,,,,,,,,,,,,,,2.70988,0.06097,,-0.51897,0.82109
,,,,,,,,,,,,,,,,2.76302,0.0592,,-0.52443,0.82576
,,,,,,,,,,,,,,,,2.81615,0.05365,,-0.5299,0.81994
,,,,,,,,,,,,,,,,2.86929,0.05725,,-0.53536,0.81878
,,,,,,,,,,,,,,,,2.92242,0.05583,,-0.54082,0.81842
,,,,,,,,,,,,,,,,2.97556,0.052,,-0.54628,0.81569
,,,,,,,,,,,,,,,,3.02869,0.05531,,-0.55175,0.80885
,,,,,,,,,,,,,,,,3.08183,0.05291,,-0.55721,0.79914
,,,,,,,,,,,,,,,,3.13496,0.0496,,-0.56267,0.80396
,,,,,,,,,,,,,,,,3.1881,0.05263,,-0.56814,0.79496
,,,,,,,,,,,,,,,,,,,-0.5736,0.79583
,,,,,,,,,,,,,,,,,,,-0.57906,0.79633
,,,,,,,,,,,,,,,,,,,-0.58452,0.77913
,,,,,,,,,,,,,,,,,,,-0.58999,0.78467
,,,,,,,,,,,,,,,,,,,-0.59545,0.77366
,,,,,,,,,,,,,,,,,,,-0.60091,0.7738
,,,,,,,,,,,,,,,,,,,-0.60638,0.77121
,,,,,,,,,,,,,,,,,,,-0.61184,0.77208
,,,,,,,,,,,,,,,,,,,-0.6173,0.75927
,,,,,,,,,,,,,,,,,,,-0.62276,0.76243
,,,,,,,,,,,,,,,,,,,-0.62823,0.75358
,,,,,,,,,,,,,,,,,,,-0.63369,0.75452
,,,,,,,,,,,,,,,,,,,-0.63915,0.75257
,,,,,,,,,,,,,,,,,,,-0.64462,0.74415
,,,,,,,,,,,,,,,,,,,-0.65008,0.74768
,,,,,,,,,,,,,,,,,,,-0.65554,0.73883
,,,,,,,,,,,,,,,,,,,-0.661,0.73674
,,,,,,,,,,,,,,,,,,,-0.66647,0.73436
,,,,,,,,,,,,,,,,,,,-0.67193,0.73422
,,,,,,,,,,,,,,,,,,,-0.67739,0.72422
,,,,,,,,,,,,,,,,,,,-0.68285,0.73386
,,,,,,,,,,,,,,,,,,,-0.68832,0.71155
,,,,,,,,,,,,,,,,,,,-0.69378,0.72213
,,,,,,,,,,,,,,,,,,,-0.69924,0.71594
,,,,,,,,,,,,,,,,,,,-0.70471,0.69802
,,,,,,,,,,,,,,,,,,,-0.71017,0.70601
,,,,,,,,,,,,,,,,,,,-0.71563,0.69521
,,,,,,,,,,,,,,,,,,,-0.72109,0.69133
,,,,,,,,,,,,,,,,,,,-0.72656,0.69061
,,,,,,,,,,,,,,,,,,,-0.73202,0.67909
,,,,,,,,,,,,,,,,,,,-0.73748,0.68276
,,,,,,,,,,,,,,,,,,,-0.74295,0.66887
,,,,,,,,,,,,,,,,,,,-0.74841,0.67449
,,,,,,,,,,,,,,,,,,,-0.75387,0.66787
,,,,,,,,,,,,,,,,,,,-0.75933,0.66225
,,,,,,,,,,,,,,,,,,,-0.7648,0.66456
,,,,,,,,,,,,,,,,,,,-0.77026,0.65635
,,,,,,,,,,,,,,,,,,,-0.77572,0.65937
,,,,,,,,,,,,,,,,,,,-0.78119,0.6552
,,,,,,,,,,,,,,,,,,,-0.78665,0.65023
,,,,,,,,,,,,,,,,,,,-0.79211,0.64476
,,,,,,,,,,,,,,,,,,,-0.79757,0.64117
,,,,,,,,,,,,,,,,,,,-0.80304,0.64066
,,,,,,,,,,,,,,,,,,,-0.8085,0.64469
,,,,,,,,,,,,,,,,,,,-0.81396,0.62965
,,,,,,,,,,,,,,,,,,,-0.81943,0.62951
,,,,,,,,,,,,,,,,,,,-0.84674,0.60885
,,,,,,,,,,,,,,,,,,,-0.87405,0.59108
,,,,,,,,,,,,,,,,,,,-0.90137,0.56574
,,,,,,,,,,,,,,,,,,,-0.92868,0.56582
,,,,,,,,,,,,,,,,,,,-0.956,0.51976
,,,,,,,,,,,,,,,,,,,-0.98331,0.51313
,,,,,,,,,,,,,,,,,,,-1.01063,0.4891
,,,,,,,,,,,,,,,,,,,-1.03794,0.47269
,,,,,,,,,,,,,,,,,,,-1.06525,0.45959
,,,,,,,,,,,,,,,,,,,-1.09257,0.44268
,,,,,,,,,,,,,,,,,,,-1.11988,0.42836
,,,,,,,,,,,,,,,,,,,-1.1472,0.40561
,,,,,,,,,,,,,,,,,,,-1.17451,0.39014
,,,,,,,,,,,,,,,,,,,-1.20182,0.37567
,,,,,,,,,,,,,,,,,,,-1.22914,0.34602
,,,,,,,,,,,,,,,,,,,-1.25645,0.34207
,,,,,,,,,,,,,,,,,,,-1.28377,0.3199
,,,,,,,,,,,,,,,,,,,-1.31108,0.31299
,,,,,,,,,,,,,,,,,,,-1.3384,0.2837
,,,,,,,,,,,,,,,,,,,-1.36571,0.28262
,,,,,,,,,,,,,,,,,,,-1.39302,0.25052
,,,,,,,,,,,,,,,,,,,-1.42034,0.24563
,,,,,,,,,,,,,,,,,,,-1.44765,0.22375
,,,,,,,,,,,,,,,,,,,-1.47497,0.23008
,,,,,,,,,,,,,,,,,,,-1.50228,0.209
,,,,,,,,,,,,,,,,,,,-1.52959,0.19043
,,,,,,,,,,,,,,,,,,,-1.55691,0.1746
,,,,,,,,,,,,,,,,,,,-1.58422,0.17733
,,,,,,,,,,,,,,,,,,,-1.61154,0.16531
,,,,,,,,,,,,,,,,,,,-1.63885,0.15092
,,,,,,,,,,,,,,,,,,,-1.66617,0.14739
,,,,,,,,,,,,,,,,,,,-1.69348,0.13523
,,,,,,,,,,,,,,,,,,,-1.72079,0.12638
,,,,,,,,,,,,,,,,,,,-1.74811,0.11961
